Class,MSE_Mean,MSE_Std,PSNR_Mean,PSNR_Std,Samples
0,0.01289473229192663,0.009443455878097019,19.745818353891373,2.6286270228380646,1000
1,0.007063718707067892,0.005800112345827689,22.307814524173736,2.418981300910956,1000
2,0.012671167972730473,0.008395356948428183,19.612498005628584,2.2263970688280215,1000
3,0.012479331901529804,0.007525142327195282,19.666440074443816,2.2831480162067184,1000
4,0.012497560609364883,0.006620435930272362,19.479077215194703,1.8754207646518695,1000
5,0.02004872397868894,0.010452992169299992,17.51836117506027,2.1822394644306367,1000
6,0.013785708590643481,0.00949573898800397,19.39325311779976,2.5464056483646518,1000
7,0.010516893803374842,0.0050163332335048105,20.218274224996566,1.9270449714393187,1000
8,0.020310600337572395,0.008854147585064719,17.295386184453964,1.798067829551296,1000
9,0.013657186159398406,0.006088150594552799,18.986189351081848,1.6802844488070505,1000
