Class,MSE_Mean,MSE_Std,PSNR_Mean,PSNR_Std,Samples
0,0.011512509514344856,0.008776427974617213,20.293929985761643,2.707372887647186,1000
1,0.006379214588319883,0.005501951116116746,22.783501045703886,2.438205588769608,1000
2,0.011474792218999937,0.00806555119384232,20.116464962959288,2.3549656660510765,1000
3,0.011361078650690614,0.0072331238724946964,20.144364131689073,2.40940536832981,1000
4,0.010771140867145732,0.006390073997306962,20.223680746555328,2.0701228164045613,1000
5,0.018271298359846696,0.009760963223020905,17.931334269046783,2.182314735781017,1000
6,0.012493371483171358,0.00903058467687632,19.881097826957703,2.6307520040451116,1000
7,0.009725253871409222,0.004706617065827029,20.56818081974983,1.9490310447194061,1000
8,0.018825639963150023,0.008433968172244535,17.640855029821395,1.837915707443722,1000
9,0.0123766791340895,0.0059066889510514305,19.44257330775261,1.7427915753625483,1000
