Class,MSE_Mean,MSE_Std,PSNR_Mean,PSNR_Std,Samples
0,0.011744502843241206,0.009055921055998435,20.236274535655976,2.754806267227853,1000
1,0.006352292874129489,0.0056819989326858155,22.855099624395372,2.515136426609342,1000
2,0.01172654148703441,0.008146880513522015,20.01500466942787,2.347172879406284,1000
3,0.011888159434078262,0.007367869948559178,19.899314258098602,2.306084693572076,1000
4,0.0112065638336353,0.006607724114626702,20.044513224363328,2.0520969715431825,1000
5,0.018983145108446477,0.010101946954176384,17.772345898151396,2.2038214892092984,1000
6,0.012705875814310276,0.009243909341447799,19.823197419643403,2.6590340007711766,1000
7,0.010164950106292963,0.004900150027601091,20.37476146221161,1.9456582004795262,1000
8,0.019401344597805292,0.008758829544538917,17.51570900440216,1.8472436647280097,1000
9,0.0129678025173489,0.006145876264574429,19.24386686205864,1.7568988038357913,1000
