Class,MSE_Mean,MSE_Std,PSNR_Mean,PSNR_Std,Samples
0,0.013737212519859895,0.00994997038022356,19.475622819662092,2.644814824088702,1000
1,0.0077396102614002305,0.006042254129982509,21.88644838452339,2.400600099203714,1000
2,0.013917812417959795,0.009227784155112492,19.22050311207771,2.2591927743472273,1000
3,0.01320631722570397,0.007891432871853161,19.41960889339447,2.2905058021409443,1000
4,0.012873800065135584,0.0073747261738619264,19.414862002134324,2.002844869081409,1000
5,0.021409770907601343,0.011171202140388067,17.241024030447008,2.201973747153499,1000
6,0.014331624085316434,0.009843586061122355,19.2254569876194,2.5468352219997903,1000
7,0.01130963598866947,0.005237124904323428,19.886743100881578,1.9005317064300244,1000
8,0.021829790125600993,0.009364901393313354,16.965352921485902,1.747477675002441,1000
9,0.014563125166576357,0.006487516126425691,18.712093706130982,1.6994362808244272,1000
