name,label,norm_type,color,final_val_elbo,final_val_bce,final_val_kld,best_val_elbo,test_psnr,test_mse,test_elbo,training_time,linear_accuracy,embedding_dim
cvae_emb64,LN-emb64,LayerNorm,[0.57960784 0.77019608 0.87372549 1.        ],225.45821961805555,219.8370378689236,18.73727010091146,225.31707259114583,19.808303514301777,0.01275383660311345,225.83705532226563,224.56477975845337,76.31,64
cvae_emb128,LN-emb128,LayerNorm,[0.23192618 0.54565167 0.76261438 1.        ],225.66050141059029,220.23689626736112,18.07868547905816,225.66050141059029,19.791701809465884,0.01289429201305611,226.0372955078125,213.41657090187073,74.63,128
cvae_emb256,LN-emb256,LayerNorm,[0.03137255 0.28973472 0.57031911 1.        ],226.7440546875,221.71920323350693,16.749506896972655,226.6372795138889,19.51946494847536,0.013590978181676474,227.20422109375,220.556889295578,77.33,256
