Class,MSE_Mean,MSE_Std,PSNR_Mean,PSNR_Std,Samples
0,0.013089960363227874,0.010456722946360582,19.809517539143563,2.8119925762862503,1000
1,0.006926847137976437,0.005760471765608154,22.408560440540313,2.433742013632507,1000
2,0.01309367667324841,0.009495798920757751,19.60918859601021,2.464845549704812,1000
3,0.012444617265835404,0.008132885705432018,19.796397932767867,2.4977735998382102,1000
4,0.012132597921881825,0.007485251753871849,19.759726957082748,2.1773322520823704,1000
5,0.02030073461961001,0.011228440309103343,17.537786449193955,2.3402071179590718,1000
6,0.013740688249119557,0.010052920587612153,19.496506289243698,2.688183905455858,1000
7,0.010653249264229088,0.005316802361865826,20.204402261972426,2.0224533621802605,1000
8,0.020456955473171546,0.009734144451368614,17.328965455293655,1.9510696006809964,1000
9,0.01309126549353823,0.006622654989679364,19.24514288008213,1.8507555648717429,1000
