Class,MSE_Mean,MSE_Std,PSNR_Mean,PSNR_Std,Samples
0,0.012045082924189047,0.009122878426657377,20.090237848758697,2.7003659841627834,1000
1,0.006404865081072785,0.0059385480939529505,22.87042889595032,2.5838687302345553,1000
2,0.01244176423130557,0.008250805035095449,19.698108764886857,2.247650775375749,1000
3,0.011807590565411374,0.0074837020477704205,19.981141496896743,2.4213190466734438,1000
4,0.011674352960661053,0.006640878328186033,19.830431978702546,1.9770572602803778,1000
5,0.019242213590070605,0.010531486770166031,17.736790432929993,2.250071695732876,1000
6,0.013332897761254571,0.009282711793758773,19.555616722106933,2.5727503574121724,1000
7,0.010026265958556905,0.0049150823478804305,20.446458431482316,1.9712232838100787,1000
8,0.020029813719447703,0.008779790876291887,17.359521012306214,1.8095037470888595,1000
9,0.013562694294843823,0.006127104214765204,19.018445712327956,1.6847652025322593,1000
