name,label,norm_type,color,final_val_elbo,final_val_bce,final_val_kld,best_val_elbo,test_psnr,test_mse,test_elbo,training_time,linear_accuracy,embedding_dim
cvae_emb64,LN-emb64,LayerNorm,[0.57960784 0.77019608 0.87372549 1.        ],220.38755870225694,213.3514404296875,23.453726277669272,220.37828190104167,20.62147895348072,0.010737316426751204,222.7025377685547,829.3050625324249,88.48,64
cvae_emb128,LN-emb128,LayerNorm,[0.23192618 0.54565167 0.76261438 1.        ],220.38783723958332,213.66813953993056,22.39899427625868,220.38783723958332,20.5657652592659,0.01089607255080482,222.73749384765625,807.824818611145,93.06,128
cvae_emb256,LN-emb256,LayerNorm,[0.03137255 0.28973472 0.57031911 1.        ],221.04840462239582,214.73685373263888,21.038502007378472,220.8408969184028,20.353423092484473,0.01141674737627618,223.4502833251953,901.6492035388947,91.5,256
