Class,MSE_Mean,MSE_Std,PSNR_Mean,PSNR_Std,Samples
0,0.014683662096271291,0.01044183543272652,19.144774584770204,2.5651927321462,1000
1,0.008434283982031048,0.006194974000705329,21.459847959280015,2.345152775764219,1000
2,0.014605756753589959,0.009655691013683692,19.016090399026872,2.2722036563230663,1000
3,0.013963870238745586,0.00809584231526762,19.133752830028534,2.1946955888632806,1000
4,0.013784968704218045,0.007688840715500512,19.090134319067,1.9498275127235174,1000
5,0.022458617484895513,0.011370641278915124,17.010132937431337,2.1683242930173208,1000
6,0.015095856970874592,0.010167062621523979,18.972011013031008,2.502188165081571,1000
7,0.011676525278249755,0.005512738502493605,19.764559376239777,1.9386254814365156,1000
8,0.022337285978719593,0.009831391076095089,16.884744435548782,1.7978832360876313,1000
9,0.015066421484574676,0.006773673041928437,18.575359303951263,1.724150504449495,1000
