Class,MSE_Mean,MSE_Std,PSNR_Mean,PSNR_Std,Samples
0,0.01532471641106531,0.010759405046830437,18.95773328900337,2.578290901228532,1000
1,0.008689609850174747,0.006479333919875013,21.338057391643524,2.348635705758934,1000
2,0.015339073623530567,0.009794906732020943,18.76367828130722,2.199641545230799,1000
3,0.014835582876577973,0.008254818248141544,18.832177302837373,2.1280966007609963,1000
4,0.014760170793160797,0.008029133321003877,18.77370090007782,1.909748336977892,1000
5,0.022856551965232938,0.01159795288892627,16.93248006105423,2.1569183119456494,1000
6,0.015704887211089955,0.010243743968142243,18.772129678726195,2.471409585552272,1000
7,0.012402511776890605,0.005670404134301033,19.480940269231795,1.8951120526571021,1000
8,0.022649287672247737,0.009871599307222263,16.813964245319365,1.7650215402664455,1000
9,0.015861067556310445,0.007155568376266084,18.34281945168972,1.7005324742377368,1000
