Class,MSE_Mean,MSE_Std,PSNR_Mean,PSNR_Std,Samples
0,0.014933823777362704,0.010634456165798464,19.07430772781372,2.582481922446199,1000
1,0.00854996545193717,0.006444177909846455,21.374839663505554,2.2663050890829766,1000
2,0.015273975347634404,0.009515113217590285,18.76232128024101,2.1743891659542482,1000
3,0.014466489805607125,0.008131802444430987,18.956253391504287,2.163591888943939,1000
4,0.014110695963259786,0.007703300694490247,18.98592963218689,1.9539244847386816,1000
5,0.022478876414475962,0.011499654835488073,17.002260777950287,2.1349959174932427,1000
6,0.015348829572554677,0.010063415596421332,18.874350216388702,2.4719265393977103,1000
7,0.012486819368554279,0.0056342191956198955,19.431492084264754,1.834803701060929,1000
8,0.022813502008095385,0.009824555897339052,16.776180354356764,1.7566729150866496,1000
9,0.015719959143549202,0.007644100901493943,18.39587541639805,1.7193967350136787,1000
