Class,MSE_Mean,MSE_Std,PSNR_Mean,PSNR_Std,Samples
0,0.013231159168761223,0.009749491460939865,19.6563904774189,2.6646094943919163,1000
1,0.007815118849859573,0.005880161435852858,21.787030593156814,2.32237063864695,1000
2,0.013600039516342803,0.008992494559401298,19.329296979904175,2.284708550078188,1000
3,0.01355856938031502,0.007879533738688905,19.27288813471794,2.225555534495379,1000
4,0.012624905174132436,0.00716136442192241,19.502405992746354,2.0178588715678027,1000
5,0.021270666831173003,0.011043687840452596,17.257411823272705,2.1691650409578926,1000
6,0.014267913395073264,0.009766970191782041,19.251045517921447,2.565605677127515,1000
7,0.01141547673707828,0.00544414048947443,19.858423471450806,1.9166763180650281,1000
8,0.021589909611735493,0.009344990425631592,17.02200649023056,1.775766995307902,1000
9,0.014595863717608154,0.006936143662772697,18.7156477612257,1.7186361504802876,1000
