Class,MSE_Mean,MSE_Std,PSNR_Mean,PSNR_Std,Samples
0,0.011951327457325533,0.008978878179431892,20.094081617593766,2.6446790304288403,1000
1,0.0068084532716311515,0.005518267940657294,22.406111936569214,2.2998046675445947,1000
2,0.011461731558432803,0.008157527260215907,20.13284302711487,2.3700466981521995,1000
3,0.01154742139414884,0.007382422873370851,20.061892780065538,2.3726044917559737,1000
4,0.010926282599568366,0.006343400451009858,20.14164924502373,2.028075007485246,1000
5,0.018585421725409106,0.00992224149880088,17.86405345082283,2.2051118865287056,1000
6,0.012246639162651262,0.009182435672328107,20.02217534661293,2.708778430566789,1000
7,0.009681248066248373,0.004781929972208307,20.605175362825392,1.98408000896236,1000
8,0.01913995659770444,0.008536047631197634,17.56888481378555,1.8379626362158359,1000
9,0.01248284141952172,0.005809651413722851,19.397857694625856,1.727699522951775,1000
