Class,MSE_Mean,MSE_Std,PSNR_Mean,PSNR_Std,Samples
0,0.01578825353179127,0.010853916537630891,18.79390572309494,2.5260627141079093,1000
1,0.009191077571245841,0.006258708027502276,20.98768930077553,2.183133497113749,1000
2,0.01583813453745097,0.010062823445942077,18.626902298927305,2.21319810892727,1000
3,0.014998533632606267,0.008277944400104948,18.779640967845918,2.118539898990421,1000
4,0.014724855379899964,0.008156765011648255,18.802067396640776,1.9456909792302957,1000
5,0.02355746199795976,0.0120194673930525,16.795246148109435,2.131525158486851,1000
6,0.016160098538966848,0.010524421926678478,18.640336755514145,2.459270287123613,1000
7,0.013037114814855158,0.0059585515228743925,19.255852700471877,1.8661881793975754,1000
8,0.02344674190785736,0.009959170761067065,16.649802943468092,1.739290580785433,1000
9,0.016110404611099513,0.007558839327280126,18.283170149326324,1.709222975829495,1000
