Class,MSE_Mean,MSE_Std,PSNR_Mean,PSNR_Std,Samples
0,0.014672559439903126,0.010653565161993938,19.178890079259872,2.615300461633226,1000
1,0.008710469940910116,0.006394477199230355,21.291135860681536,2.281761114844792,1000
2,0.015181871892884374,0.009857369324501318,18.820149713754653,2.219249309881776,1000
3,0.014583889552392065,0.00828129092345149,18.93612233400345,2.1958989573246757,1000
4,0.014224202391691506,0.007968117220358856,18.970481412410734,1.992634574774859,1000
5,0.022577252880204467,0.011611785344858164,16.990535502433776,2.149678187805882,1000
6,0.015600589202716947,0.010361247464755257,18.822915881872177,2.500395724425141,1000
7,0.012739074901212007,0.005828897322534603,19.3558287024498,1.865156636545782,1000
8,0.022381466135382652,0.009919667356279888,16.878782893419267,1.802626162852997,1000
9,0.015857258732430636,0.007205518917338549,18.344470314979553,1.6978707419386312,1000
