Class,MSE_Mean,MSE_Std,PSNR_Mean,PSNR_Std,Samples
0,0.013383479865733534,0.009572794285731288,19.546447187662125,2.5715016055508397,1000
1,0.007026545707485638,0.005839181892030806,22.36856775164604,2.4802028830416263,1000
2,0.01278563137538731,0.00858935024119775,19.60238265514374,2.286870549415167,1000
3,0.012690029482124374,0.007724517081531452,19.609238061904907,2.317443258206649,1000
4,0.012368579313391819,0.006970641798399962,19.574958655834198,1.9789595933486819,1000
5,0.020646881097462027,0.01079529278117381,17.399408915042876,2.20961975653933,1000
6,0.013513958601979539,0.009507123252130472,19.51253499984741,2.591357821416299,1000
7,0.011055424844147637,0.00510386979449469,19.98195639014244,1.8912799102299331,1000
8,0.020741844373289495,0.00917951966107924,17.214276760816574,1.8224159692722974,1000
9,0.013591308964649215,0.006131612433609793,19.016452114582062,1.7030657131799996,1000
