Class,MSE_Mean,MSE_Std,PSNR_Mean,PSNR_Std,Samples
0,0.015606002648593858,0.010966481044768026,18.866740225553514,2.549778308110171,1000
1,0.008959752148482948,0.006598853564280568,21.15611873269081,2.2510795909663313,1000
2,0.015921296449378133,0.010027334169482024,18.58541871905327,2.1748562455109424,1000
3,0.015137150939088314,0.008399736921049323,18.753453016281128,2.1552363763414224,1000
4,0.014640291616786271,0.008063474934706114,18.83316413760185,1.9671846196676608,1000
5,0.023388770253863187,0.012075285768567035,16.843370262384415,2.1673888333931517,1000
6,0.015980648956494405,0.0104412481300086,18.69301566839218,2.463548932721941,1000
7,0.013449910145718605,0.005985948975145901,19.100708483457566,1.8206433056496074,1000
8,0.023456782252062113,0.010176292570506715,16.659129066467287,1.7633172446709622,1000
9,0.0166538026696071,0.007986570821170897,18.147347117066385,1.7216003538055837,1000
