Class,MSE_Mean,MSE_Std,PSNR_Mean,PSNR_Std,Samples
0,0.009799332847935148,0.008256737242465947,21.16698956608772,2.9592781265323733,1000
1,0.004940917561121751,0.0050840333728994,24.081752442121505,2.6366149355918185,1000
2,0.009640672095236369,0.00784484126334984,21.084085114002228,2.6828383270461598,1000
3,0.009716478259535507,0.0071544292861908405,21.02572752714157,2.7136038858053473,1000
4,0.009058687828714027,0.006172840274002269,21.115976202487946,2.3016714871232344,1000
5,0.015917081114137546,0.009115203967838619,18.59751562476158,2.315041304041825,1000
6,0.010785670451587065,0.008854572593415688,20.695915179252623,2.8532826358294683,1000
7,0.008183836743002758,0.004348503300254968,21.402625643014908,2.1251379266994586,1000
8,0.015915912576019764,0.008172291004431686,18.4865241253376,2.097653579482128,1000
9,0.01004930718569085,0.005293589813649294,20.408218967914582,1.8724263391483034,1000
