Class,MSE_Mean,MSE_Std,PSNR_Mean,PSNR_Std,Samples
0,0.015137097413418815,0.010871887540804011,19.03053134560585,2.6018356765572945,1000
1,0.00840367440332193,0.0061191059627705,21.44467834830284,2.2842157742895823,1000
2,0.015194823471829296,0.009729618743640242,18.813104575872423,2.225388056591599,1000
3,0.014827552625909448,0.008268700248756783,18.84232168793678,2.1465047087125173,1000
4,0.014038860517088324,0.007694522958104031,19.017009580135344,1.976019604737461,1000
5,0.023191670060157776,0.011996664368829766,16.891160727739333,2.1995627682163783,1000
6,0.015604760071728379,0.01026197942088486,18.819964134693144,2.5121208574551335,1000
7,0.012659761909628286,0.005827814910722447,19.392820717096328,1.8953770726649601,1000
8,0.02292152187647298,0.009734064484238752,16.748982553482055,1.7431807369263748,1000
9,0.016084987368434667,0.007561743046334238,18.28826496064663,1.698816608391447,1000
