Class,MSE_Mean,MSE_Std,PSNR_Mean,PSNR_Std,Samples
0,0.01397736653580796,0.010176663012872433,19.400694098472595,2.6376123906110274,1000
1,0.00789049498969689,0.006373131469340654,21.81640485048294,2.408128553577715,1000
2,0.014095408544875681,0.008929657506149472,19.112089834213258,2.161841297612679,1000
3,0.013379321309737862,0.008051176674399321,19.371854939460754,2.305283801089814,1000
4,0.013000005191424862,0.007299455111439589,19.358427904844284,1.9770571875565297,1000
5,0.021946357992943376,0.011481363453072296,17.128338195085526,2.1795472368532054,1000
6,0.014561522913980298,0.009892882149623758,19.1437451171875,2.5302453209861486,1000
7,0.012244895274518058,0.005459812507164836,19.51483251452446,1.8429137241274438,1000
8,0.02213523361319676,0.009493637170979305,16.90456780195236,1.74564588740008,1000
9,0.01490478797443211,0.006902798063352318,18.617833418250083,1.7033959747179719,1000
