Class,MSE_Mean,MSE_Std,PSNR_Mean,PSNR_Std,Samples
0,0.015487850128905847,0.01107321358140232,18.92759833574295,2.5965519166673388,1000
1,0.008865517012076453,0.006527386985621788,21.21824457168579,2.2834553552313928,1000
2,0.0160863168281503,0.010208313125587311,18.5626400911808,2.2247746603462017,1000
3,0.015280209644697607,0.00850430866351038,18.712569098472596,2.1528376444511808,1000
4,0.014798870664089919,0.008278373431566162,18.79605308175087,1.981574585152289,1000
5,0.023329340265365317,0.012175375346390488,16.862203092575072,2.179137730179106,1000
6,0.016342148946831003,0.010610758429652018,18.593028758764266,2.458949097282654,1000
7,0.013185034353518858,0.0059389209147750815,19.200026715993882,1.8560174876137485,1000
8,0.023288161924108864,0.010287333849352164,16.695206167697908,1.764383826334814,1000
9,0.016472302318550645,0.008320698973933484,18.22579507470131,1.7964151069873364,1000
