Class,MSE_Mean,MSE_Std,PSNR_Mean,PSNR_Std,Samples
0,0.013664816092932597,0.009787795040506985,19.469749765396116,2.5942968330709664,1000
1,0.0077771348216338085,0.006057122841062645,21.847197031974794,2.3754096300612164,1000
2,0.013661704197991639,0.00890397319035777,19.283795986175537,2.235842255854687,1000
3,0.013476396477315574,0.007817775511397555,19.286431646347047,2.1907717549427224,1000
4,0.012766407978953793,0.007079172391532285,19.42737345576286,1.9568633463155973,1000
5,0.021527077325619755,0.011006346650435404,17.192274478673934,2.1484648136436935,1000
6,0.014485253950115294,0.0098016832593253,19.165217730998993,2.5294754749657176,1000
7,0.011504712688270956,0.005292099233028777,19.805181267261506,1.8801962380280186,1000
8,0.02165927493479103,0.009310794358278562,17.004283592700958,1.7663456090627667,1000
9,0.014518238417804242,0.006484232709944418,18.724525750875472,1.6948478220154077,1000
