Class,MSE_Mean,MSE_Std,PSNR_Mean,PSNR_Std,Samples
0,0.0132575074165361,0.009765483014461106,19.64654690027237,2.665699003287361,1000
1,0.007342022002791055,0.005924269376527197,22.12449907183647,2.4015563809951357,1000
2,0.01320956350141205,0.008699492068504445,19.426093599796296,2.2120113095780596,1000
3,0.012766882030526176,0.007803848737714442,19.58374007344246,2.311670271449342,1000
4,0.012413076931377873,0.006957532370909158,19.55567820906639,1.969301308905093,1000
5,0.020758456710260362,0.010846959650279361,17.361613273620605,2.1554841193407626,1000
6,0.014022530354210175,0.009684840331040017,19.32045245528221,2.541208866031299,1000
7,0.011256655672797933,0.005290364742465202,19.916340157985687,1.918627569882061,1000
8,0.021153876612894237,0.009134821507165517,17.104409534931182,1.7519198656059327,1000
9,0.014090958941727877,0.00677451655777576,18.883974726200105,1.7566043819797217,1000
