Class,MSE_Mean,MSE_Std,PSNR_Mean,PSNR_Std,Samples
0,0.012257346459664404,0.009934039456477495,20.143809670209883,2.889616449531258,1000
1,0.006154253789572977,0.005575550029305939,23.002698681354524,2.505597448474433,1000
2,0.012323656803695486,0.009114779927014507,19.920123180150984,2.554637672584338,1000
3,0.011827981420326978,0.007839205310146024,20.031742968559264,2.5134993864840003,1000
4,0.011534464999567718,0.00727362203544064,20.002111364603042,2.2196579538880186,1000
5,0.019386934296460823,0.010698397459473296,17.73746140599251,2.3478573895457155,1000
6,0.012953101399005391,0.0098053165313077,19.80212793469429,2.7444795433455114,1000
7,0.010264902668073773,0.005167195761056798,20.385660030841827,2.0745783414188974,1000
8,0.019493918440071867,0.009478400312108129,17.54939514040947,1.9636646846864352,1000
9,0.012714246130315587,0.006521727413173515,19.376742668151856,1.8605284016318586,1000
