Class,MSE_Mean,MSE_Std,PSNR_Mean,PSNR_Std,Samples
0,0.014210067105828785,0.010060013448233117,19.28203350901604,2.5653876004875342,1000
1,0.007991653990931808,0.006104042508905195,21.715056252479553,2.360153132232216,1000
2,0.014488265099003911,0.009183574151105045,19.00693751692772,2.1982021029696144,1000
3,0.013872625530231743,0.008044687235712332,19.167672907114028,2.210492466355181,1000
4,0.013397042281460016,0.007529877840975852,19.22161517262459,1.963365323700825,1000
5,0.022101826645666733,0.011478949060091698,17.09116207242012,2.1710681138087713,1000
6,0.015005147903691977,0.009977028415131553,18.98823662519455,2.4933056166652694,1000
7,0.012200500212842599,0.005570416417228203,19.541663205623628,1.8598793073204503,1000
8,0.022227581227198243,0.009584242060433954,16.895431572198866,1.775151774508457,1000
9,0.014866475748363882,0.006879950212667143,18.63869026482105,1.7304727766174235,1000
