Class,MSE_Mean,MSE_Std,PSNR_Mean,PSNR_Std,Samples
0,0.012088438058039174,0.009576702226353668,20.162656208276747,2.828166402229524,1000
1,0.006155957276932895,0.005618741585325997,23.015106387138367,2.52657108318329,1000
2,0.011981344705447554,0.008758676318499303,20.00240576863289,2.4771583733799343,1000
3,0.011720657136756928,0.007660562167427677,20.023667176961897,2.4132373923969976,1000
4,0.011461625944124535,0.006891257856506565,19.96651765227318,2.085012229325703,1000
5,0.01921837245603092,0.010859051489844283,17.78717224955559,2.3540161840053173,1000
6,0.012663827357231639,0.00957250081542757,19.89902843236923,2.746765472844006,1000
7,0.010408172972733155,0.005059445229742029,20.27909636259079,1.9623917431930586,1000
8,0.01925471582310274,0.009111024628150275,17.58639085173607,1.9311752376737146,1000
9,0.012649161578854547,0.006223695626396706,19.365026229023933,1.782281311490597,1000
