Class,MSE_Mean,MSE_Std,PSNR_Mean,PSNR_Std,Samples
0,0.010622815977199935,0.00900285473181013,20.84381289601326,3.001191987994403,1000
1,0.005548074760241434,0.005256876906456246,23.482191115617752,2.5274754684393423,1000
2,0.01055084426375106,0.008291818026842977,20.631268788576126,2.5815728763329173,1000
3,0.010685282658552751,0.00745864242833442,20.52573014497757,2.5833044434581467,1000
4,0.010144208014942705,0.006509497822377627,20.560358867645263,2.202187148093758,1000
5,0.017450116495834663,0.009812986314167362,18.18203264117241,2.282876949901639,1000
6,0.01166941074153874,0.009225192945933259,20.31467082977295,2.821459949007168,1000
7,0.009209008187870495,0.00470080720914395,20.851107347011567,2.0475219417223665,1000
8,0.017391624643933026,0.008682320785961001,18.069349958896638,2.027188611779497,1000
9,0.011165218197274953,0.006117561967445262,19.954170083999635,1.873234251155088,1000
