Class,MSE_Mean,MSE_Std,PSNR_Mean,PSNR_Std,Samples
0,0.010322109094122425,0.008632790931753155,20.92969243168831,2.938123285704019,1000
1,0.005330671803210862,0.005156522085221246,23.673928788900376,2.5561980692497266,1000
2,0.010085492358077318,0.00801423907451708,20.84946886062622,2.620277993493283,1000
3,0.010203194168279878,0.007263235141796618,20.749321855306626,2.614742873160769,1000
4,0.009536422678502276,0.006423829305389831,20.887718131542204,2.2997879171274405,1000
5,0.016643618491012604,0.009521484478434447,18.407859377861023,2.330415489745846,1000
6,0.011134006472770125,0.008997584408300735,20.53612796664238,2.82993360439745,1000
7,0.00865663465904072,0.004531999712193225,21.148528196811675,2.1108054791753963,1000
8,0.016488292946014553,0.00851767450628861,18.331492294073104,2.0866155376840974,1000
9,0.010458811982069164,0.005847497006850354,20.24098661363125,1.8816719870561471,1000
